Fecha,ID,NPS Group,NPS,Comment,UsuarioDecisión,Canal,Palanca,Subpalanca
2026-01-27 17:02:37,123347725,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 12:09:23,123277636,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 13:37:18,123465888,DETRACTOR,2,"LA PAGINA SIGUE SIN SERVIR, NOS HACE PERDER MUCHO TIEMPO",No,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-01-16 16:44:37,122852402,PROMOTOR,10,OPTIMA Y FACIL DE ATENDER,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-28 14:41:32,123389217,PASIVO,8,Muy mala atencion en El banco ...estan mal organizations y normalmente estan 2 cajeros atendiendo por Este Motivo se tarda uno mas de 1 hora en ser at,Sí,BBVA,Banca,Tiempo de espera
2026-01-23 17:07:13,123182460,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-02 19:17:25,122258442,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 14:05:30,123978734,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 10:43:11,122757318,DETRACTOR,0,LA BANCA ES MUY LENTO Y LAS TRANSFERENCIAS MASIVAS LO RECHAZA TODO,Sí,Web,Funcionamiento Continuo,Pagos/ Transferencias
2026-02-17 08:38:33,124154647,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 10:48:48,124044515,PROMOTOR,10,buen servicio,No,BBVA,Banca,Amabilidad del ejecutivo
2026-02-11 00:38:14,123951325,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 11:18:10,123164473,PROMOTOR,9,A veces no puedo entrar a ver mis saldos porque el servicio no está disponible,Sí,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-01-16 14:16:57,122848321,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 08:27:06,123370413,PROMOTOR,10,"Por su atención constante y personalizada, gracias. solo nunca he podido habilitar mi banca electrónica en el celular.",Sí,Web,Uso,Seguridad en la plataforma
2026-01-29 17:22:02,123433266,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-08 12:53:56,122522914,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-02 11:55:32,122248767,PROMOTOR,10,EXCELENTE.,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-02-09 22:25:01,123906915,DETRACTOR,2,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 16:41:14,123653590,DETRACTOR,6,Han cambiado muchas cosas pero no todas han sido para bien,Sí,Web,Uso,Diseño UX
2026-01-26 11:48:47,123275266,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-10 13:47:57,122613645,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-09 14:07:42,122583282,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-15 17:10:30,122810056,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 23:20:27,123715573,PASIVO,8,buena,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-07 09:59:53,122457211,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 11:14:44,122967836,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-02 14:49:04,123576186,DETRACTOR,0,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-24 13:46:53,123208258,PROMOTOR,10,"todo bien ,",No,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 09:40:34,123926830,PROMOTOR,10,"Mi mejor banco y mejor aliado, facil de operar la banca, la app, en la web. Todos los productos financieros que ofrecen son excelentes",Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-30 11:41:48,123461061,PROMOTOR,10,EXCEKENTE SERV,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-05 13:37:37,123754508,PROMOTOR,10,"practico ,",Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-02-09 08:59:20,123869628,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 16:18:02,122770100,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 09:56:10,123967145,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 16:57:47,123945657,PROMOTOR,10,todo bien,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 10:45:37,123162610,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 12:27:59,123463001,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-21 17:12:37,123050402,PROMOTOR,10,OK,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 14:28:25,124052419,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-19 10:47:38,124231834,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-22 09:36:03,123084093,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-18 10:45:00,124195670,DETRACTOR,5,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 15:56:12,123391594,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 21:36:15,124143377,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-05 21:58:08,122365901,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 11:18:36,123691175,DETRACTOR,2,"la banca se tarda mucho con la ultima actualización, no detecta la ubicación está muy lento el sistema",Sí,Web,Uso,Velocidad de la plataforma
2026-01-20 10:36:02,122965410,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 17:32:52,123183189,DETRACTOR,0,"pésima operación, me saca de todo",Sí,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-01-29 16:32:05,123432096,PASIVO,7,"Algunas funcionalidades fallan, otras no cargan y se tiene que estar actualizando la pagina",No,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-01-06 12:06:31,122404340,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 22:36:05,124143895,DETRACTOR,6,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-20 12:31:38,124275419,PROMOTOR,9,la aplicacion es muy amigabe facil  de utilizar,No,Web,Uso,Practicidad/ Facilidad de uso
2026-01-23 09:32:25,123158674,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 13:31:32,124166229,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-27 11:39:54,123334973,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 10:55:50,123270565,PASIVO,8,cobran mucha comision,Sí,BBVA,Productos,Comisión por uso
2026-01-22 09:46:54,123084869,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-27 17:57:01,123348950,PROMOTOR,10,excelente servicio,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-23 18:11:22,123184283,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-02 15:12:22,122254701,PROMOTOR,10,por la facilidad para realizar transacciones en el portal,No,Web,Uso,Practicidad/ Facilidad de uso
2026-01-29 17:04:21,123432928,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-09 12:39:18,122576062,DETRACTOR,2,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-15 13:10:12,124086430,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 12:08:51,123640615,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-13 11:24:09,122721201,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-07 07:33:50,122446301,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 10:44:43,122757388,PROMOTOR,10,IO9IO9I,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 12:21:36,124048147,DETRACTOR,0,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 17:31:59,123183163,PASIVO,8,buen servicio,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 10:24:14,123687504,PROMOTOR,9,bien,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 12:46:17,124123612,DETRACTOR,4,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 15:51:03,123179835,PROMOTOR,10,EXCELENTE SERVICIO,No,Web,Uso,Practicidad/ Facilidad de uso
2026-02-22 18:29:27,124309870,PROMOTOR,9,"es buen banco, a rato se demora mucho en ingreso a la banca",No,Web,Uso,Velocidad de la plataforma
2026-02-05 13:54:08,123755849,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 11:07:07,124045268,PROMOTOR,10,RAPIDO Y SEGURO,Sí,Web,Uso,Velocidad de la plataforma
2026-01-26 18:04:58,123302289,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-07 13:33:02,123830420,DETRACTOR,5,POCO AMIGABLE SU PLATAFORMA,Sí,Web,Uso,Diseño UX
2026-01-10 15:12:36,122615222,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 19:34:01,123985823,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 17:32:39,123946528,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 15:50:32,123470357,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-06 10:05:29,122392076,PROMOTOR,10,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 23:51:13,123307867,PASIVO,8,"En la noche no se actualizan los saldos, hasta mas allá de las 23:30 hs",Sí,Web,Funcionamiento Continuo,Mostrar movimientos actualizados
2026-02-03 10:40:27,123635016,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 11:15:59,123971573,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-29 17:44:45,123433793,PASIVO,8,lo que no me gusto fue el cambio de tu banca movil,Sí,Web,Uso,Diseño UX
2026-01-16 12:42:53,122843840,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-14 10:53:29,124068363,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-29 12:19:25,123423421,PASIVO,8,"Podria ser un 10, solo las comisiones estan altas",Sí,BBVA,Productos,Tasa de interés
2026-01-12 12:14:45,122671794,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 12:51:55,123643145,PROMOTOR,10,gooood,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 20:52:28,123476074,PROMOTOR,10,LO MEJOR,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 11:33:28,123165316,PROMOTOR,10,muy buena,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 10:58:11,123163295,PROMOTOR,10,Tuve un inconveniente y el asesor telefónico me llevó de la mano para resolver con éxito mi problema,Sí,BBVA,Banca,Resolución de dudas
2026-01-06 09:03:25,122384003,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 12:11:08,124163372,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 12:56:56,122974502,PASIVO,7,acceso al sucursal y estacionamiento no es aceptable.,Sí,BBVA,Banca,Atención personalizada
2026-01-06 16:38:09,122417482,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 13:26:20,123698660,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-06 11:56:55,122403382,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-21 13:00:58,123037238,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 09:21:24,123264335,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 19:11:24,123711663,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 18:07:08,122983992,DETRACTOR,2,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 09:47:38,124109400,PROMOTOR,9,PLATAFORMA UN POCO COMPLICADA,No,Web,Uso,Practicidad/ Facilidad de uso
2026-01-07 08:57:41,122452452,PASIVO,8,"Áreas de mejora: 1. Atención al cliente: tiempos de espera prolongados en la atención de consultas, lo que puede resultar frustrante.",Sí,BBVA,Línea BBVA,Tardan en contestar
2026-01-18 19:56:35,122882904,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 11:36:41,124046456,PROMOTOR,10,BUENA,No,Otros,FAN,FAN
2026-02-20 11:53:36,124274227,PROMOTOR,10,excelente servicio,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-01-23 16:36:37,123181510,DETRACTOR,0,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 09:20:18,124108093,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 13:50:27,123646515,PROMOTOR,10,ME GUSTA LA FACILIDAD DEL SITIO,No,Web,Uso,Practicidad/ Facilidad de uso
2026-01-15 13:31:26,122803574,DETRACTOR,2,DEMASIADO INSISTETE EN LA OPINION,Sí,Web,Uso,Molestia por la encuesta
2026-01-06 16:54:57,122418023,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 17:42:38,123655741,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-06 08:22:10,123789814,PASIVO,8,No hay ofertas de crédito,Sí,BBVA,Productos,Accesibilidad a créditos
2026-01-08 12:21:05,122521125,PROMOTOR,9,BIEN,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-18 13:35:04,124201312,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-22 14:51:52,123112022,PROMOTOR,10,FACIL Y PRACTICO,No,Web,Uso,Practicidad/ Facilidad de uso
2026-02-03 09:35:29,123630697,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-19 18:29:10,124253046,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-14 09:36:38,124066855,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 12:21:20,123694943,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 20:19:26,124058841,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 10:17:29,123873840,PROMOTOR,9,ok,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-05 10:46:27,123741072,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-07 20:04:52,122486438,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 10:58:33,123378117,PROMOTOR,10,todo bien,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-14 12:19:33,124070077,PROMOTOR,10,EXCELENTE SERVICIO.,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-02-19 12:45:05,124240732,DETRACTOR,1,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 13:22:05,123938741,PASIVO,7,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-05 10:58:24,123741816,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 12:52:12,123881705,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-09 08:11:27,122557539,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-12 12:22:46,124009905,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 17:38:58,122983262,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 07:57:26,123918772,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-13 09:14:18,124040431,PROMOTOR,9,Me da buen servicio y cumple con mis expectativas como Banco,Sí,BBVA,Banca,Atención personalizada
2026-01-27 17:30:03,123348336,PROMOTOR,10,ok,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 17:34:24,123473167,DETRACTOR,4,la nueva aplicación es nefasta.,Sí,Web,Funcionamiento Continuo,No funciona bien/ falla
2026-02-10 10:21:34,123930179,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 08:27:59,122750410,PASIVO,8,8,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-02 11:41:44,123554282,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-12 11:58:45,124008974,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-31 17:25:39,123496723,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-16 11:26:33,124116589,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-04 19:48:20,122293939,PROMOTOR,10,SON UN BANCO QUE ME HAN DADO UN BUEN SERVICIO Y SU BANCA ES MUY FACIL DE USAR,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-02-17 10:31:14,124159155,PASIVO,7,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-03 11:31:14,122270967,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-21 13:00:09,123037158,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 15:04:15,123942381,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-11 15:31:41,123981301,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-01 22:04:06,123520809,DETRACTOR,5,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-15 08:20:49,122789087,PASIVO,8,La atencion en suscursal es muy tardada y en las practicajas es muy dificil la aceptacion de billetes,Sí,BBVA,Autoservicio,ATM/ Practicajas
2026-01-19 15:15:43,122932455,PROMOTOR,10,.,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-19 10:41:40,124231404,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-20 09:19:04,122961051,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 21:16:52,123397161,PASIVO,8,Venia a buscar los numeros de la tarjeta digital para hacer una compra en linea y no los encontre por ningun lado... esta algo complicado de navegar,Sí,Web,Uso,Practicidad/ Facilidad de uso
2026-02-16 13:28:03,124127186,PROMOTOR,10,BUEN SERVICIO,No,BBVA,Banca,Amabilidad del ejecutivo
2026-02-12 19:21:35,124021328,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-15 11:33:17,122798498,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-14 14:49:55,122767231,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-12 12:42:37,122674371,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-15 11:35:16,122798603,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-30 15:23:15,123469560,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 22:43:54,123715045,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 17:26:58,123708770,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-06 12:18:46,122405497,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 17:01:59,123899340,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-06 16:36:01,122417399,PASIVO,7,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 14:13:03,123888362,PROMOTOR,10,opk,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-10 10:02:47,123928623,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-19 22:31:15,122941444,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-15 12:38:25,122801434,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-03 09:02:29,123628637,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 17:32:27,123708949,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 18:13:59,123710220,PROMOTOR,10,excelente,No,Web,Uso,Practicidad/ Facilidad de uso
2026-02-05 14:48:56,123759485,DETRACTOR,0,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-13 13:48:25,122727118,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-28 02:50:21,123356324,PROMOTOR,10,seguridad en las operaciones,Sí,BBVA,Seguridad,Seguridad
2026-02-08 17:10:51,123851373,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 10:54:50,123689678,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-26 17:34:35,123301222,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-17 15:17:57,124169401,PASIVO,8,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-04 16:53:24,123707649,PROMOTOR,9,Muy buena atención y rapidez en los procesos,No,BBVA,Banca,Atención personalizada
2026-02-03 12:47:59,123642945,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-19 09:55:57,122913333,DETRACTOR,6,Faltan opciones más claras,No,Web,Agregar Funcionalidad,Agregar Funcionalidad
2026-02-03 11:49:53,123639491,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-05 13:05:52,123751997,PROMOTOR,10,bien,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 11:24:08,123877509,PROMOTOR,9,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-14 12:54:34,124070749,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-09 13:14:44,123883433,PROMOTOR,10,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-31 12:26:05,123491147,DETRACTOR,6,en el sector de agronegocios nos tiene abandonados por eso cambiamos la nómina de mi empresa a otro banco la nómina semanal la teníamos 105 mil seman,Sí,BBVA,Productos,Accesibilidad a créditos
2026-02-04 06:20:20,123673598,PASIVO,7,"no se sabe quien me hace depositos,no dice el nombre,otros bancos si lo hacen.",Sí,Web,Uso,Edo de Cuenta
2026-01-27 16:10:34,123346406,PROMOTOR,10,,No,Otros,Sin Comentarios,Sin Comentarios
2026-02-05 10:41:59,123740775,PASIVO,7,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-01-23 09:54:39,123159935,PROMOTOR,9,,No,Otros,Sin Comentarios,Sin Comentarios
2026-01-31 18:31:56,123497473,PASIVO,8,,Sí,Otros,Sin Comentarios,Sin Comentarios
2026-02-21 13:03:52,124295010,DETRACTOR,6,,No,Otros,Sin Comentarios,Sin Comentarios
